"Station Id",,"Avg. Test Fees","Station Name",Address,City,ZIP,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
2,,$25,"KEN GARFF MERCEDES BENZ","575 SOUTH STATE","SALT LAKE CITY",84111,40.756698,-111.887756,1,rooftop,575,"S State St","Salt Lake City",UT,"Salt Lake County",84111,US,"Utah AGRC (and individual UT counties)"
24,,$39,"OLYMPUS HILLS SINCLAIR","3905 SOUTH WASATCH BLVD","SALT LAKE CITY",84124,40.686708,-111.795525,1,rooftop,3905,"S Wasatch Blvd","Salt Lake City",UT,"Salt Lake County",84124,US,"Utah AGRC (and individual UT counties)"
28,,$31,"UNION SERVICE","997 EAST 7220 SOUTH",MIDVALE,84047,40.619111,-111.862117,1,range_interpolation,997,"E 7220 S",Midvale,UT,"Salt Lake County",84047,US,"TIGER/Line® dataset from the US Census Bureau"
38,,$30,"LARRY H. MILLER TOYOTA","5650 S STATE ST",MURRAY,84107,40.648415,-111.88955,1,rooftop,5650,"S State St","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
46,,$35,"QUALITY TIRE CO.","1335 WEST 2100 SOUTH","SALT LAKE CITY",84119,40.725605,-111.929081,0.9,rooftop,1335,"W 2100 S","Salt Lake City",UT,"Salt Lake County",84104,US,"Utah AGRC (and individual UT counties)"
58,,$25,"RIVERTON CHEVROLET","11100 S JORDAN GTWY","SOUTH JORDAN",84095,40.550723,-111.899462,1,rooftop,11100,"S Jordan Gtwy","South Jordan",UT,"Salt Lake County",84095,US,"Utah AGRC (and individual UT counties)"
64,,$35,"NEIL'S PRO SERVICE","1204 WEST 600 NORTH","SALT LAKE CITY",84116,40.782695,-111.925994,1,rooftop,1204,"W 600 N","Salt Lake City",UT,"Salt Lake County",84116,US,"Utah AGRC (and individual UT counties)"
69,,$48,"PERFORMANCE PLACE INC.","10246 SOUTH 1700 WEST","SOUTH JORDAN",84095,40.563186,-111.938799,1,range_interpolation,10246,"S 1700 W","South Jordan",UT,"Salt Lake County",84095,US,"TIGER/Line® dataset from the US Census Bureau"
70,,$35,"DENNYS AUTO","11999 SOUTH REDWOOD RD",RIVERTON,84065,40.532996,-111.938206,1,rooftop,11999,"S Redwood Rd",Riverton,UT,"Salt Lake County",84065,US,"Utah AGRC (and individual UT counties)"
73,,$37,"THE LITTLE GARAGE","1161 SOUTH 300 WEST","SALT LAKE CITY",84101,40.743727,-111.899433,1,rooftop,1161,"S 300 W","Salt Lake City",UT,"Salt Lake County",84101,US,"Utah AGRC (and individual UT counties)"
96,,$27,"NATE WADE SUBARU","1207 SOUTH MAIN ST.","SALT LAKE CITY",84111,40.742543,-111.890768,1,rooftop,1207,"S Main St","Salt Lake City",UT,"Salt Lake County",84111,US,"Utah AGRC (and individual UT counties)"
107,,$25,"LARRY'S CAR CARE","2965 S 3600 W","WEST VALLEY",84119,40.706442,-111.976454,1,rooftop,2965,"S 3600 W","Salt Lake City",UT,"Salt Lake County",84119,US,"Utah AGRC (and individual UT counties)"
109,,$33,"GINES AUTO SERVICE INC","4261 WEST 5415 SOUTH",KEARNS,84118,40.652476,-111.992387,1,rooftop,4261,"W 5415 S","Salt Lake City",UT,"Salt Lake County",84118,US,"Utah AGRC (and individual UT counties)"
130,,$43,"PARRY'S SERVICE","14250 SO. 1700 WEST",BLUFFDALE,84065,40.492229,-111.939055,1,range_interpolation,14250,"S 1700 W",Riverton,UT,"Salt Lake County",84065,US,"TIGER/Line® dataset from the US Census Bureau"
133,,$25,"VARGAS AUTO","3401 S WEST TEMPLE","SALT LAKE CITY",84115,40.698017,-111.893983,1,range_interpolation,3401,"S West Temple","Salt Lake City",UT,"Salt Lake County",84115,US,"TIGER/Line® dataset from the US Census Bureau"
135,,$40,"GREASE MONKEY","10352 So. BECKSTEAD LN","SOUTH JORDAN",84095,40.554098,-111.953891,0.33,place,,,"South Jordan",UT,"Salt Lake County",84095,US,"TIGER/Line® dataset from the US Census Bureau"
139,,$31,"BMW OF MURRAY","4735 So. STATE ST.",MURRAY,84107,40.666892,-111.887991,0.3,place,,,Murray,UT,"Salt Lake County",84107,US,"TIGER/Line® dataset from the US Census Bureau"
140,,$35,"STEVES AUTOMOTIVE SPECIAL","2809 S 2300 E","SALT LAKE CITY",84109,40.710467,-111.824064,1,rooftop,2809,"S 2300 E","Salt Lake City",UT,"Salt Lake County",84109,US,"Utah AGRC (and individual UT counties)"
155,,$40,"ERV'S AUTOMOTIVE","1041W BULLION ST",MURRAY,84123,40.645714,-111.921067,1,rooftop,1041,"W Bullion St","Salt Lake City",UT,"Salt Lake County",84123,US,"Utah AGRC (and individual UT counties)"
157,,$33,"HORNER'S CHEVRON","1688 EAST 1700 SOUTH","SALT LAKE CITY",84105,40.733196,-111.842516,1,rooftop,1688,"E 1700 S","Salt Lake City",UT,"Salt Lake County",84105,US,"Utah AGRC (and individual UT counties)"
158,,$40,"SLAUGH'S CAR CARE","807 EAST 200 SOUTH","SALT LAKE CITY",84102,40.765431,-111.867747,1,rooftop,807,"E 200 S","Salt Lake City",UT,"Salt Lake County",84102,US,"Utah AGRC (and individual UT counties)"
165,,$33,"CAPITOL MUFFLER","964 SOUTH STATE ST.","SALT LAKE CITY",84111,40.748207,-111.888827,1,rooftop,964,"S State St","Salt Lake City",UT,"Salt Lake County",84111,US,"Utah AGRC (and individual UT counties)"
174,,$28,"REED IVERSON REPAIR","3175 SOUTH 300 WEST","SALT LAKE CITY",84115,40.701876,-111.899404,1,rooftop,3175,"S 300 W","Salt Lake City",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
175,,$36,"COTTONWOOD GARAGE","2049 EAST 6200 SOUTH","SALT LAKE CITY",84121,40.639169,-111.832726,1,rooftop,2049,"E 6200 S","Salt Lake City",UT,"Salt Lake County",84121,US,"Utah AGRC (and individual UT counties)"
191,,$35,"BUCK'S CAR CLINIC","220 W 9210 So",SANDY,84070,40.584191,-111.898,1,rooftop,220,"W 9210 S",Sandy,UT,"Salt Lake County",84070,US,"Utah AGRC (and individual UT counties)"
200,,$30,"PAUL'S AUTOMOTIVE","48 EAST 9400 SOUTH",SANDY,84070,40.580229,-111.889689,1,rooftop,48,"E 9400 S",Sandy,UT,"Salt Lake County",84070,US,"Utah AGRC (and individual UT counties)"
214,,$28,"THOMAS TIRE CENTER","3555 SOUTH 3600 WEST","WEST VALLEY CITY",84119,40.694793,-111.976564,1,rooftop,3555,"S 3600 W","Salt Lake City",UT,"Salt Lake County",84119,US,"Utah AGRC (and individual UT counties)"
221,,$33,"G.T. AUTOMOTIVE","919 W. BAXTER DR.","SOUTH JORDAN",84095,40.560258,-111.915926,1,rooftop,919,"W Baxter Dr","South Jordan",UT,"Salt Lake County",84095,US,"Utah AGRC (and individual UT counties)"
222,,$36,"HARRIS AUTO REPAIR","953 So. EDISON (140 E.)","SALT LAKE CITY",84111,40.755596,-111.883718,0.33,place,,,"Salt Lake City",UT,"Salt Lake County",84111,US,"TIGER/Line® dataset from the US Census Bureau"
233,,$33,"LARRY H. MILLER CHEVROLET","5500 SOUTH STATE ST.",MURRAY,84107,40.65174,-111.889504,1,rooftop,5500,"S State St","Salt Lake City",UT,"Salt Lake County",84107,US,"Utah AGRC (and individual UT counties)"
